BASELOAD_GEN_PERIODS_1,BASELOAD_GEN_PERIODS_2,DispatchBaseloadByPeriod
G106346,2020,485.76
G106346,2025,485.76
G106346,2030,485.7600000000001
G106347,2020,485.76
G106347,2025,485.76
G106347,2030,485.7600000000001
G106348,2020,242.88
G106348,2025,242.88
G106348,2030,242.88000000000002
G106348,2035,216.39766252787544
G106349,2020,242.88
G106349,2025,242.88000000000005
G106349,2030,242.88
G106349,2035,242.88000000000005
G106470,2020,283.36
G106470,2025,283.36
G106470,2030,283.36
G106470,2035,283.36
G106471,2020,283.36
G106471,2025,283.36
G106471,2030,283.36
G106471,2035,283.36
G109041,2020,242.88
G109041,2025,242.88
G109041,2030,242.88
G109041,2035,242.88
G109042,2020,242.88
G109042,2025,242.88
G109042,2030,242.88
G109042,2035,242.88
G111092,2025,48.85375960896878
G111092,2030,48.85375960896878
G111092,2035,283.36
G111093,2025,125.32203224892187
G111093,2030,157.22731611064518
G111093,2035,283.36
G112778,2020,0.0
G112778,2025,0.0
G112778,2030,0.0
G112779,2020,0.0
G112779,2025,0.0
G112779,2030,0.0
G114088,2020,109.29599999999999
G114088,2025,0.0
G114088,2030,0.0
G114089,2020,48.262026673835074
G114089,2025,0.0
G114089,2030,0.0
G114090,2020,0.0
G114090,2025,0.0
G114090,2030,0.0
outside_coal,2020,0.0
outside_coal,2025,0.0
outside_coal,2030,0.0
outside_coal,2035,0.0
