BuildCogen_index_1,BuildCogen_index_2,BuildCogen
G106344,2020,35.15734564284027
G106344,2025,0.0
G106344,2030,0.0
G106344,2035,0.0
G106345,2020,0.0
G106345,2025,0.0
G106345,2030,0.0
G106345,2035,0.0
G106346,2020,149.78409600000003
G106346,2025,0.0
G106346,2030,0.0
G106346,2035,0.0
G106347,2020,149.78409600000003
G106347,2025,0.0
G106347,2030,0.0
G106347,2035,0.0
G106348,2020,85.32374400000002
G106348,2025,0.0
G106348,2030,0.0
G106348,2035,0.0
G106349,2020,74.89204800000002
G106349,2025,0.0
G106349,2030,0.0
G106349,2035,0.0
G106470,2020,82.826128
G106470,2025,0.0
G106470,2030,0.0
G106470,2035,0.0
G106470_H2,2020,0.0
G106470_H2,2025,0.0
G106470_H2,2030,0.0
G106470_H2,2035,0.0
G106471,2020,82.826128
G106471,2025,0.0
G106471,2030,0.0
G106471,2035,0.0
G109041,2020,70.99382399999999
G109041,2025,0.0
G109041,2030,0.0
G109041,2035,0.0
G109041_H2,2020,0.0
G109041_H2,2025,0.0
G109041_H2,2030,0.0
G109041_H2,2035,0.0
G109042,2020,70.99382399999999
G109042,2025,0.0
G109042,2030,0.0
G109042,2035,0.0
G109042_H2,2020,0.0
G109042_H2,2025,0.0
G109042_H2,2030,0.0
G109042_H2,2035,0.0
G111092,2020,0.0
G111092,2025,30.07879461757466
G111092,2030,0.0
G111092,2035,0.0
G111093,2020,0.0
G111093,2025,0.0
G111093,2030,0.0
G111093,2035,0.0
G112778,2020,0.0
G112778,2025,0.0
G112778,2030,0.0
G112778,2035,0.0
G112779,2020,0.0
G112779,2025,0.0
G112779,2030,0.0
G112779,2035,0.0
G114088,2020,43.188314399999996
G114088,2025,0.0
G114088,2030,0.0
G114088,2035,0.0
G114089,2020,0.0
G114089,2025,0.0
G114089,2030,0.0
G114089,2035,0.0
G114090,2020,0.0
G114090,2025,0.0
G114090,2030,0.0
G114090,2035,0.0
H2,2020,17.718759442013578
H2,2025,0.2258693519612578
H2,2030,0.05118231791530903
H2,2035,0.0
outside_coal,2020,0.0
outside_coal,2025,0.0
outside_coal,2030,0.0
outside_coal,2035,0.0
outside_coal_H2,2020,0.0
outside_coal_H2,2025,0.0
outside_coal_H2,2030,0.0
outside_coal_H2,2035,0.0
