GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio
G109041,1,inside_lvliang,57566.6,300,9.258,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G109042,2,inside_lvliang,57566.6,300,9.258,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G106470,3,inside_lvliang,57566.6,350,9.258,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G106471,4,inside_lvliang,57566.6,350,9.258,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G106348,5,inside_lvliang,57566.6,300,10.438,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G106349,6,inside_lvliang,57566.6,300,9.579,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G106344,7,inside_lvliang,57566.6,100,12.184,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G106345,8,inside_lvliang,57566.6,100,12.184,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G106346,9,inside_lvliang,57566.6,600,9.579,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G106347,10,inside_lvliang,57566.6,600,9.579,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G114088,11,inside_lvliang,57566.6,135,11.315,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G114089,12,inside_lvliang,57566.6,135,12.315,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G114090,13,inside_lvliang,57566.6,135,13.315,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G112778,14,inside_lvliang,57566.6,50,14.315,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G112779,15,inside_lvliang,57566.6,50,15.315,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G111092,16,inside_lvliang,57566.6,350,9.258,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
G111093,17,inside_lvliang,57566.6,350,9.258,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
N-Residential_PV,Residential_PV,inside_lvliang,0,1.5,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.
N-Commercial_PV,Commercial_PV,inside_lvliang,0,2,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.
N-Central_PV-1,Central_PV,inside_lvliang,51272,3,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.
N-Central_PV-2,Central_PV,inside_lvliang,101661,2,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.
N-Wind-1,Wind,inside_lvliang,71602,4,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.
N-Wind-2,Wind,inside_lvliang,80259,1,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.
C-Residential_PV,Residential_PV,inside_lvliang,0,0.5,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.
C-Commercial_PV,Commercial_PV,inside_lvliang,0,0.7,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.
C-Central_PV-1,Central_PV,inside_lvliang,122526.8,2,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.
C-Central_PV-2,Central_PV,inside_lvliang,45197.2,3,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.
C-Wind-1,Wind,inside_lvliang,72541.5,4,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.
C-Wind-2,Wind,inside_lvliang,77892.2,3,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.
S-Residential_PV,Residential_PV,inside_lvliang,0,3,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.
S-Commercial_PV,Commercial_PV,inside_lvliang,0,3.3,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.
S-Central_PV-1,Central_PV,inside_lvliang,74881.9,0.8,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.
S-Central_PV-2,Central_PV,inside_lvliang,65370.3,0.4,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.
outside_coal,outside,outside_lvliang,57566.6,.,9.258,4.57,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.
