GEN_TPS_1,GEN_TPS_2,DispatchGen
C-Central_PV-1,1,0.0
C-Central_PV-1,2,0.0
C-Central_PV-1,3,0.0
C-Central_PV-1,4,0.0
C-Central_PV-1,5,0.0
C-Central_PV-1,6,0.0
C-Central_PV-1,7,0.0
C-Central_PV-1,8,0.0
C-Central_PV-1,9,0.0
C-Central_PV-1,10,0.0
C-Central_PV-1,11,0.0
C-Central_PV-1,12,0.0
C-Central_PV-1,13,0.0
C-Central_PV-1,14,0.0
C-Central_PV-1,15,0.0
C-Central_PV-1,16,0.0
C-Central_PV-1,17,0.0
C-Central_PV-1,18,0.0
C-Central_PV-1,19,0.0
C-Central_PV-1,20,0.0
C-Central_PV-1,21,0.0
C-Central_PV-1,22,0.0
C-Central_PV-1,23,0.0
C-Central_PV-1,24,0.0
C-Central_PV-1,25,0.0
C-Central_PV-1,26,0.0
C-Central_PV-1,27,0.0
C-Central_PV-1,28,0.0
C-Central_PV-1,29,0.0
C-Central_PV-1,30,0.0
C-Central_PV-1,31,0.0
C-Central_PV-1,32,0.0
C-Central_PV-1,33,0.0
C-Central_PV-1,34,0.0
C-Central_PV-1,35,0.0
C-Central_PV-1,36,0.0
C-Central_PV-1,37,0.0
C-Central_PV-1,38,0.0
C-Central_PV-1,39,0.0
C-Central_PV-1,40,0.0
C-Central_PV-1,41,0.0
C-Central_PV-1,42,0.0
C-Central_PV-1,43,0.0
C-Central_PV-1,44,0.0
C-Central_PV-1,45,0.0
C-Central_PV-1,46,0.0
C-Central_PV-1,47,0.0
C-Central_PV-1,48,0.0
C-Central_PV-1,49,0.0
C-Central_PV-1,50,0.0
C-Central_PV-1,51,0.0
C-Central_PV-1,52,0.0
C-Central_PV-1,53,0.0
C-Central_PV-1,54,0.0
C-Central_PV-1,55,0.0
C-Central_PV-1,56,0.0
C-Central_PV-1,57,0.0
C-Central_PV-1,58,0.0
C-Central_PV-1,59,0.0
C-Central_PV-1,60,0.0
C-Central_PV-1,61,0.0
C-Central_PV-1,62,0.0
C-Central_PV-1,63,0.0
C-Central_PV-1,64,0.0
C-Central_PV-1,65,0.0
C-Central_PV-1,66,0.0
C-Central_PV-1,67,0.0
C-Central_PV-1,68,0.0
C-Central_PV-1,69,0.0
C-Central_PV-1,70,0.0
C-Central_PV-1,71,0.0
C-Central_PV-1,72,0.0
C-Central_PV-1,73,0.0
C-Central_PV-1,74,0.0
C-Central_PV-1,75,0.0
C-Central_PV-1,76,0.0
C-Central_PV-1,77,0.0
C-Central_PV-1,78,0.0
C-Central_PV-1,79,0.0
C-Central_PV-1,80,0.0
C-Central_PV-1,81,0.0
C-Central_PV-1,82,0.0
C-Central_PV-1,83,0.0
C-Central_PV-1,84,0.0
C-Central_PV-1,85,0.0
C-Central_PV-1,86,0.0
C-Central_PV-1,87,0.0
C-Central_PV-1,88,0.0
C-Central_PV-1,89,0.0
C-Central_PV-1,90,0.0
C-Central_PV-1,91,0.0
C-Central_PV-1,92,0.0
C-Central_PV-1,93,0.0
C-Central_PV-1,94,0.0
C-Central_PV-1,95,0.0
C-Central_PV-1,96,0.0
C-Central_PV-2,1,0.0
C-Central_PV-2,2,0.0
C-Central_PV-2,3,0.0
C-Central_PV-2,4,0.0
C-Central_PV-2,5,0.0
C-Central_PV-2,6,0.0
C-Central_PV-2,7,0.0
C-Central_PV-2,8,0.0
C-Central_PV-2,9,0.0
C-Central_PV-2,10,0.0
C-Central_PV-2,11,0.0
C-Central_PV-2,12,0.0
C-Central_PV-2,13,0.0
C-Central_PV-2,14,0.0
C-Central_PV-2,15,0.0
C-Central_PV-2,16,0.0
C-Central_PV-2,17,0.0
C-Central_PV-2,18,0.0
C-Central_PV-2,19,0.0
C-Central_PV-2,20,0.0
C-Central_PV-2,21,0.0
C-Central_PV-2,22,0.0
C-Central_PV-2,23,0.0
C-Central_PV-2,24,0.0
C-Central_PV-2,25,0.0
C-Central_PV-2,26,0.0
C-Central_PV-2,27,0.0
C-Central_PV-2,28,0.0
C-Central_PV-2,29,0.0
C-Central_PV-2,30,0.0
C-Central_PV-2,31,0.0
C-Central_PV-2,32,0.0
C-Central_PV-2,33,0.0
C-Central_PV-2,34,0.0
C-Central_PV-2,35,0.0
C-Central_PV-2,36,0.0
C-Central_PV-2,37,0.0
C-Central_PV-2,38,0.0
C-Central_PV-2,39,0.0
C-Central_PV-2,40,0.0
C-Central_PV-2,41,0.0
C-Central_PV-2,42,0.0
C-Central_PV-2,43,0.0
C-Central_PV-2,44,0.0
C-Central_PV-2,45,0.0
C-Central_PV-2,46,0.0
C-Central_PV-2,47,0.0
C-Central_PV-2,48,0.0
C-Central_PV-2,49,0.0
C-Central_PV-2,50,0.0
C-Central_PV-2,51,0.0
C-Central_PV-2,52,0.0
C-Central_PV-2,53,0.0
C-Central_PV-2,54,0.0
C-Central_PV-2,55,0.0
C-Central_PV-2,56,0.0
C-Central_PV-2,57,0.0
C-Central_PV-2,58,0.0
C-Central_PV-2,59,0.0
C-Central_PV-2,60,0.0
C-Central_PV-2,61,0.0
C-Central_PV-2,62,0.0
C-Central_PV-2,63,0.0
C-Central_PV-2,64,0.0
C-Central_PV-2,65,0.0
C-Central_PV-2,66,0.0
C-Central_PV-2,67,0.0
C-Central_PV-2,68,0.0
C-Central_PV-2,69,0.0
C-Central_PV-2,70,0.0
C-Central_PV-2,71,0.0
C-Central_PV-2,72,0.0
C-Central_PV-2,73,0.0
C-Central_PV-2,74,0.0
C-Central_PV-2,75,0.0
C-Central_PV-2,76,0.0
C-Central_PV-2,77,0.0
C-Central_PV-2,78,0.0
C-Central_PV-2,79,0.0
C-Central_PV-2,80,0.0
C-Central_PV-2,81,0.0
C-Central_PV-2,82,0.0
C-Central_PV-2,83,0.0
C-Central_PV-2,84,0.0
C-Central_PV-2,85,0.0
C-Central_PV-2,86,0.0
C-Central_PV-2,87,0.0
C-Central_PV-2,88,0.0
C-Central_PV-2,89,0.0
C-Central_PV-2,90,0.0
C-Central_PV-2,91,0.0
C-Central_PV-2,92,0.0
C-Central_PV-2,93,0.0
C-Central_PV-2,94,0.0
C-Central_PV-2,95,0.0
C-Central_PV-2,96,0.0
C-Commercial_PV,1,0.0
C-Commercial_PV,2,0.0
C-Commercial_PV,3,0.0
C-Commercial_PV,4,0.0
C-Commercial_PV,5,0.0
C-Commercial_PV,6,0.0
C-Commercial_PV,7,0.0
C-Commercial_PV,8,0.0
C-Commercial_PV,9,0.0
C-Commercial_PV,10,0.0
C-Commercial_PV,11,0.0
C-Commercial_PV,12,0.0
C-Commercial_PV,13,0.0
C-Commercial_PV,14,0.0
C-Commercial_PV,15,0.0
C-Commercial_PV,16,0.0
C-Commercial_PV,17,0.0
C-Commercial_PV,18,0.0
C-Commercial_PV,19,0.0
C-Commercial_PV,20,0.0
C-Commercial_PV,21,0.0
C-Commercial_PV,22,0.0
C-Commercial_PV,23,0.0
C-Commercial_PV,24,0.0
C-Commercial_PV,25,0.0
C-Commercial_PV,26,0.0
C-Commercial_PV,27,0.0
C-Commercial_PV,28,0.0
C-Commercial_PV,29,0.0
C-Commercial_PV,30,0.0
C-Commercial_PV,31,0.0
C-Commercial_PV,32,0.0
C-Commercial_PV,33,0.0
C-Commercial_PV,34,0.0
C-Commercial_PV,35,0.0
C-Commercial_PV,36,0.0
C-Commercial_PV,37,0.0
C-Commercial_PV,38,0.0
C-Commercial_PV,39,0.0
C-Commercial_PV,40,0.0
C-Commercial_PV,41,0.0
C-Commercial_PV,42,0.0
C-Commercial_PV,43,0.0
C-Commercial_PV,44,0.0
C-Commercial_PV,45,0.0
C-Commercial_PV,46,0.0
C-Commercial_PV,47,0.0
C-Commercial_PV,48,0.0
C-Commercial_PV,49,0.0
C-Commercial_PV,50,0.0
C-Commercial_PV,51,0.0
C-Commercial_PV,52,0.0
C-Commercial_PV,53,0.0
C-Commercial_PV,54,0.0
C-Commercial_PV,55,0.0
C-Commercial_PV,56,0.0
C-Commercial_PV,57,0.0
C-Commercial_PV,58,0.0
C-Commercial_PV,59,0.0
C-Commercial_PV,60,0.0
C-Commercial_PV,61,0.0
C-Commercial_PV,62,0.0
C-Commercial_PV,63,0.0
C-Commercial_PV,64,0.0
C-Commercial_PV,65,0.0
C-Commercial_PV,66,0.0
C-Commercial_PV,67,0.0
C-Commercial_PV,68,0.0
C-Commercial_PV,69,0.0
C-Commercial_PV,70,0.0
C-Commercial_PV,71,0.0
C-Commercial_PV,72,0.0
C-Commercial_PV,73,0.0
C-Commercial_PV,74,0.0
C-Commercial_PV,75,0.0
C-Commercial_PV,76,0.0
C-Commercial_PV,77,0.0
C-Commercial_PV,78,0.0
C-Commercial_PV,79,0.0
C-Commercial_PV,80,0.0
C-Commercial_PV,81,0.0
C-Commercial_PV,82,0.0
C-Commercial_PV,83,0.0
C-Commercial_PV,84,0.0
C-Commercial_PV,85,0.0
C-Commercial_PV,86,0.0
C-Commercial_PV,87,0.0
C-Commercial_PV,88,0.0
C-Commercial_PV,89,0.0
C-Commercial_PV,90,0.0
C-Commercial_PV,91,0.0
C-Commercial_PV,92,0.0
C-Commercial_PV,93,0.0
C-Commercial_PV,94,0.0
C-Commercial_PV,95,0.0
C-Commercial_PV,96,0.0
C-Residential_PV,1,0.0
C-Residential_PV,2,0.0
C-Residential_PV,3,0.0
C-Residential_PV,4,0.0
C-Residential_PV,5,0.0
C-Residential_PV,6,0.0
C-Residential_PV,7,0.0
C-Residential_PV,8,0.0
C-Residential_PV,9,0.0
C-Residential_PV,10,0.0
C-Residential_PV,11,0.0
C-Residential_PV,12,0.0
C-Residential_PV,13,0.0
C-Residential_PV,14,0.0
C-Residential_PV,15,0.0
C-Residential_PV,16,0.0
C-Residential_PV,17,0.0
C-Residential_PV,18,0.0
C-Residential_PV,19,0.0
C-Residential_PV,20,0.0
C-Residential_PV,21,0.0
C-Residential_PV,22,0.0
C-Residential_PV,23,0.0
C-Residential_PV,24,0.0
C-Residential_PV,25,0.0
C-Residential_PV,26,0.0
C-Residential_PV,27,0.0
C-Residential_PV,28,0.0
C-Residential_PV,29,0.0
C-Residential_PV,30,0.0
C-Residential_PV,31,0.0
C-Residential_PV,32,0.0
C-Residential_PV,33,0.0
C-Residential_PV,34,0.0
C-Residential_PV,35,0.0
C-Residential_PV,36,0.0
C-Residential_PV,37,0.0
C-Residential_PV,38,0.0
C-Residential_PV,39,0.0
C-Residential_PV,40,0.0
C-Residential_PV,41,0.0
C-Residential_PV,42,0.0
C-Residential_PV,43,0.0
C-Residential_PV,44,0.0
C-Residential_PV,45,0.0
C-Residential_PV,46,0.0
C-Residential_PV,47,0.0
C-Residential_PV,48,0.0
C-Residential_PV,49,0.0
C-Residential_PV,50,0.0
C-Residential_PV,51,0.0
C-Residential_PV,52,0.0
C-Residential_PV,53,0.0
C-Residential_PV,54,0.0
