timestamp,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106470_H2,G106471,G109041,G109041_H2,G109042,G109042_H2,G111092,G111093,G112778,G112779,G114088,G114089,G114090,H2,outside_coal,outside_coal_H2,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
20200100,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,102.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.091,0,1.9699,1.49011,57.5307,0,38.256,14.7165,0,13.6814,0
20200101,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,102.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.491,3.81434,1.92175,1.41454,55.4363,3.48278,5.40494,14.447,10.1308,13.5307,20.0146
20200102,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,102.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.086,0,0,0,53.4448,3.24626,35.5434,13.9726,9.69481,13.4178,19.5393
20200103,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,102.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.968,3.62204,1.85191,1.21986,51.4533,3.00974,34.1085,13.4983,9.25879,13.3049,19.064
20200104,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,102.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.706,3.52588,1.81699,1.12252,49.4618,2.77322,32.6736,13.0239,8.82277,13.192,18.5887
20200105,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,102.001,0,0,0,0,0,2.08248,1.49635,0.00201349,0.00189718,6.12943,1.1019,3.53351,0.00187056,0.843127,1.77958,0.352797,290.949,3.45694,1.74655,1.1115,47.4205,2.73709,32.0172,12.763,8.68908,13.6671,18.0907
20200106,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,102.001,0,0,0,0,0,6.39445,2.99269,0.00402699,0.00379436,12.2589,2.2038,7.06702,0.00374112,1.68625,3.55915,0.705594,281.191,3.388,1.67611,1.10049,18.968,2.70096,31.3609,12.5022,8.55538,14.1422,17.5927
20200107,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,102.001,0,0,0,0,0,9.59168,4.48904,0.00604048,0.00569154,18.3883,3.30569,10.6005,0.00561168,0,5.33873,1.05839,130.52,0,0,1.08947,43.338,2.66483,30.7046,12.2413,8.42168,14.6173,17.0948
20200108,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,102.001,0,0,0,0,0,31.4837,14.3949,0.0189012,0.0182124,57.9075,10.5779,32.4567,0.018194,7.88982,16.1679,3.39391,304.388,0,0,0,0,0,0,15.8904,10.6891,17.9238,20.7221
20200109,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,102.001,0,0,0,0,0,53.3492,24.2884,0.0317453,0.0307176,97.3758,17.841,54.2835,0.0307609,13.2432,26.9822,0,64.9502,0,2.21912,2.01879,60.6115,4.85525,0,19.5666,13.0062,21.3131,24.3466
